"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"221","9L","10C",0,34,4,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"222","9N","10C",0,136,4,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"223","25F","10C",0,12,4,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"224","33D","10C",0,11,4,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"225","33F","10C",0,110,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"226","4","10C",0,284,4,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"227","37","10C",0,27,4,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"228","19B","10C",0,33,4,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"229","11A","10C",0,240,4,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"230","42","10C",0,10,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"231","35C","10C",0,41,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"232","33B","10C",0,20,4,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"233","6A","10C",0,979,4,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"234","18C","10C",0,306,4,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"235","3","10C",1,382,4,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"236","11E","10C",0,1,4,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"237","33C","10C",0,13,4,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"238","24F","10C",0,69,4,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"239","15A","10C",0,285,4,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"240","10F","10C",0,41,4,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"241","15F","10C",0,21,4,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"242","20B","10C",0,2,4,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"243","13","10C",0,112,4,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"244","6B","10C",0,1168,4,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"245","11B","10C",0,15,4,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"246","18B","10C",0,21,4,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"247","28F","10C",0,24,4,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"248","18A","10C",0,40,4,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"249","22F","10C",0,194,4,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"250","23F","10C",0,810,4,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"251","35A","10C",0,32,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"252","18F","10C",0,21,4,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"253","1","10C",1,240,4,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"254","11C","10C",0,9,4,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"255","19A","10C",0,1132,4,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"256","9A","10C",0,33,4,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"257","11D","10C",0,2,4,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"258","35F","10C",0,113,4,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"259","16F","10C",0,229,4,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"260","6F","10C",0,2,4,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"261","12F","10C",0,114,4,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"262","29","10C",0,55,4,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"263","21","10C",0,116,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"264","32A","10C",0,10,4,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"265","6E","10C",0,84,4,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"266","5","10C",0,73,4,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"267","32F","10C",0,6,4,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"268","12A","10C",0,14,4,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"269","19C","10C",0,10,4,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"270","27","10C",0,13,4,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"271","19F","10C",1,1199,4,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"272","6G","10C",0,1,4,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"273","15B/C","10C",0,320,4,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"274","33A","10C",0,14,4,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"275","10A","10C",1,192,4,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"276","46","10C",0,8,4,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"277","35B","10C",0,228,4,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"278","10B","10C",0,27,4,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"279","31","10C",0,75,4,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"280","10C","10C",0,4,4,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"281","12A","10F",0,14,41,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"282","1","10F",0,240,41,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"283","18A","10F",0,40,41,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"284","18B","10F",0,21,41,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"285","10B","10F",2,27,41,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"286","3","10F",1,382,41,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"287","9N","10F",0,136,41,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"288","11C","10F",0,9,41,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"289","9L","10F",0,34,41,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"290","28A","10F",0,15,41,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"291","6B","10F",0,1168,41,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"292","22F","10F",0,194,41,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"293","15A","10F",0,285,41,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"294","20B","10F",0,2,41,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"295","4","10F",0,284,41,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"296","14","10F",0,808,41,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"297","17F","10F",0,127,41,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"298","6G","10F",0,1,41,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"299","35A","10F",0,32,41,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"300","37","10F",0,27,41,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"301","7F","10F",1,176,41,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"302","24F","10F",0,69,41,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"303","23F","10F",0,810,41,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"304","21","10F",0,116,41,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"305","11B","10F",0,15,41,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"306","6A","10F",0,979,41,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"307","6F","10F",0,2,41,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"308","11E","10F",0,1,41,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"309","35B","10F",0,228,41,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"310","35F","10F",0,113,41,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"311","10C","10F",0,4,41,1,"0","2","0","0","0","0","0","2","0","0","0","2"
