"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"93",93,"11A - 9A",0,1,0,0,1
"96",96,"11B - 14",0,1,0,0,1
"98",98,"11B - 4",0,1,0,0,1
"100",100,"11B - 9V",0,1,0,0,1
"103",103,"11D - 19A",0,1,0,0,1
"104",104,"11E - 19A",0,1,0,0,1
"106",106,"12B - 6B",0,1,0,0,1
"107",107,"12B - 7F",0,1,0,0,1
"114",114,"12F - 38",0,1,0,0,1
"117",117,"12F - 7F",0,1,0,0,1
"118",118,"12F - 9L",0,1,0,0,1
"124",124,"13 - 18C",1,0,0,0,1
"129",129,"13 - 31",0,1,0,0,1
"131",131,"13 - 38",0,1,0,0,1
"135",135,"13 - 9A",0,1,0,0,1
"136",136,"13 - 9V",1,0,0,0,1
"150",150,"14 - 24F",0,1,0,0,1
"162",162,"14 - 7A",0,1,0,0,1
"169",169,"14 - 9V",0,1,0,0,1
"170",170,"15A - 15B/C",0,1,0,0,1
"175",175,"15A - 19B",0,1,0,0,1
"185",185,"15A - 37",0,1,0,0,1
"195",195,"15B/C - 15F",0,1,0,0,1
"198",198,"15B/C - 19A",0,1,0,0,1
"204",204,"15B/C - 23A",0,1,0,0,1
"207",207,"15B/C - 24A",0,1,0,0,1
"208",208,"15B/C - 24F",0,1,0,0,1
"210",210,"15B/C - 31",0,1,0,0,1
"212",212,"15B/C - 35B",0,1,0,0,1
"213",213,"15B/C - 38",0,1,0,0,1
"222",222,"15B/C - 9V",0,1,0,0,1
"223",223,"15F - 17F",0,1,0,0,1
"224",224,"15F - 19A",0,1,0,0,1
"225",225,"15F - 19B",0,1,0,0,1
"226",226,"15F - 19F",0,1,0,0,1
"228",228,"15F - 23F",0,1,0,0,1
"230",230,"15F - 33F",0,1,0,0,1
"231",231,"15F - 7B/C",0,1,0,0,1
"234",234,"16F - 22A",0,1,0,0,1
"239",239,"16F - 37",0,1,0,0,1
"250",250,"17F - 35C",0,1,0,0,1
"251",251,"17F - 38",0,1,0,0,1
"256",256,"18A - 18C",1,0,0,0,1
"266",266,"18C - 21",0,1,0,0,1
"269",269,"18C - 24F",0,1,0,0,1
"271",271,"18C - 33B",0,1,0,0,1
"280",280,"18C - 7A",0,1,0,0,1
"291",291,"18F - 7F",0,1,0,0,1
"294",294,"19A - 19F",0,1,0,0,1
"313",313,"19A - 42",0,1,0,0,1
"322",322,"19A - 9A",0,1,0,0,1
"325",325,"19A - 9V",0,1,0,0,1
"327",327,"19B - 23A",0,1,0,0,1
"365",365,"2 - 3",0,1,0,0,1
"366",366,"21 - 22F",1,0,0,0,1
"372",372,"22A - 4",0,1,0,0,1
"373",373,"22A - 8",0,1,0,0,1
"374",374,"22F - 23A",1,0,0,0,1
"379",379,"22F - 33F",0,1,0,0,1
"388",388,"23A - 23F",0,1,0,0,1
