"","Serotype1","Serotype2","Freq","975tile"
"1617","16A","6A",1,0
"1618","16A","6B",1,0
"1619","16A","6C/D",1,0
"1620","16A","6E",1,0
"1621","16A","6F",1,0
"1622","16A","6G",1,0
"1624","16A","7B/C",1,0
"1625","16A","7F",1,0
"1626","16A","8",1,0
"1627","16A","9A",1,0
"1628","16A","9L",1,0
"1629","16A","9N",1,0
"1630","16A","9V",1,0
"1632","16F","17F",1,0
"1635","16F","18C",2,0
"1637","16F","19A",6,4
"1640","16F","19F",7,3
"1644","16F","21",1,0
"1645","16F","22A",2,0
"1646","16F","22F",3,0
"1647","16F","23A",1,0
"1648","16F","23B",2,0
"1649","16F","23F",2,2
"1659","16F","3",2,1
"1660","16F","31",1,0
"1662","16F","33A",1,0
"1666","16F","33F",1,0
"1667","16F","34",1,0
"1668","16F","35A",1,0
"1670","16F","35C",1,0
"1671","16F","35F",1,0
"1673","16F","37",1,0
"1676","16F","4",1,1
"1682","16F","45",1,0
"1688","16F","6A",4,4
"1689","16F","6B",3,4
"1690","16F","6C/D",4,2
"1695","16F","7B/C",1,0
"1696","16F","7F",2,0
"1697","16F","8",2,0
"1700","16F","9N",1,0
"1701","16F","9V",3,0
"1772","17F","18A",2,0
"1773","17F","18B",3,0
"1774","17F","18C",3,0
"1775","17F","18F",2,0
"1776","17F","19A",4,1.025
"1777","17F","19B",1,0
"1778","17F","19C",2,0
"1779","17F","19F",5,1
"1780","17F","2",1,0
"1783","17F","21",3,0
"1784","17F","22A",4,0
"1785","17F","22F",7,0
"1786","17F","23A",4,0
"1787","17F","23B",2,0
"1788","17F","23F",7,0
"1789","17F","24A",1,0
"1790","17F","24B",2,0
"1791","17F","24F",4,0
"1797","17F","29",2,0
"1798","17F","3",6,0
"1799","17F","31",3,0
"1801","17F","33A",1,0
"1802","17F","33B",1,0
"1805","17F","33F",1,0
"1806","17F","34",2,0
"1807","17F","35A",3,0
"1808","17F","35B",3,0
"1809","17F","35C",1,0
"1810","17F","35F",2,0
"1813","17F","38",1,0
"1815","17F","4",3,0
"1819","17F","42",2,0
"1825","17F","48",1,0
"1827","17F","6A",4,1
"1828","17F","6B",5,1
"1829","17F","6C/D",3,0
"1830","17F","6E",2,0
"1831","17F","6F",1,0
"1832","17F","6G",1,0
"1834","17F","7B/C",2,0
"1835","17F","7F",2,0
"1836","17F","8",2,0
"1837","17F","9A",1,0
"1838","17F","9L",1,0
"1839","17F","9N",2,0
"1840","17F","9V",3,0
"1841","18A","18B",4,0
"1842","18A","18C",5,0
"1843","18A","18F",3,0
"1844","18A","19A",3,1
"1845","18A","19B",2,0
"1846","18A","19C",1,0
"1847","18A","19F",3,0
"1848","18A","2",1,0
"1851","18A","21",2,0
"1852","18A","22A",2,0
"1853","18A","22F",3,0
"1854","18A","23A",4,0
"1855","18A","23B",1,0
"1856","18A","23F",4,0
"1858","18A","24B",1,0
"1859","18A","24F",1,0
"1864","18A","28F",1,0
"1865","18A","29",1,0
"1866","18A","3",2,0
"1867","18A","31",2,0
"1874","18A","34",1,0
"1875","18A","35A",3,0
"1876","18A","35B",2,0
"1877","18A","35C",2,0
"1878","18A","35F",1,0
"1881","18A","38",1,0
"1883","18A","4",2,0
"1887","18A","42",1,0
"1895","18A","6A",2,1
"1896","18A","6B",5,0
"1897","18A","6C/D",3,0
"1898","18A","6E",2,0
"1899","18A","6F",1,0
"1900","18A","6G",1,0
