"","stA","MLST","frequency"
"563856","19F","6652",1
"563961","23F","6653",1
"563970","29","6653",1
"564055","23B","6654",1
"564146","21","6656",1
"564236","19F","6660",1
"564340","23B","6661",1
"564426","19F","6662",1
"564491","1","6664",1
"564613","19A","6665",1
"564711","19F","6666",1
"564806","19F","6667",1
"564952","6A","6668",1
"565047","6A","6669",1
"565143","6B","6670",1
"565196","23F","6673",1
"565333","6B","6674",1
"565405","34","6675",1
"565523","6B","6676",1
"565566","19F","6677",1
"565690","34","6680",1
"565808","6B","6681",1
"565851","19F","6682",1
"565998","6B","6683",1
"566093","6B","6684",1
"566144","23A","6685",1
"566241","23F","6686",1
"566364","4","6688",1
"566426","21","6689",1
"566514","19B","6690",1
"566629","28F","6692",1
"566636","33B","6692",1
"566638","33D","6692",1
"566719","24F","6696",1
"566785","13","6698",1
"566796","18C","6698",1
"566960","9V","6700",1
"566977","15A","6701",1
"567138","6B","6703",1
"567140","6E","6703",1
"567233","6B","6704",1
"567235","6E","6704",1
"567289","24F","6706",1
"567334","7B/C","6706",1
"567380","23B","6707",1
"567477","24A","6708",1
"567568","22F","6709",1
"567646","16F","6710",1
"567784","35F","6711",1
"567910","9V","6714",1
"567936","18C","6717",1
"567937","18F","6717",1
"568023","15B/C","6718",1
"568131","19F","6720",1
"568236","23F","6721",1
"568331","23F","6722",1
"568426","23F","6723",1
"568521","23F","6724",1
"568637","35B","6730",1
"568753","6B","6731",1
"568767","10A","6732",1
"568877","15A","6733",1
"569045","7F","6734",1
"569088","22F","6738",1
"569151","11A","6739",1
"569259","15F","6740",1
"569350","13","6742",1
"569469","23A","6744",1
"569526","1","6745",1
"569702","6A","6746",1
"569799","6C/D","6747",1
"569901","8","6748",1
"569996","8","6749",1
"570002","10A","6750",1
"570111","14","6751",1
"570206","14","6752",1
"570306","16F","6753",1
"570416","21","6754",1
"570514","23A","6755",1
"570609","23A","6756",1
"570725","34","6758",1
"570844","6C/D","6759",1
"570894","23A","6761",1
"571034","6C/D","6763",1
"571127","6A","6764",1
"571223","6B","6765",1
"571317","6A","6766",1
"571412","6A","6767",1
"571413","6B","6767",1
"571507","6A","6768",1
"571604","6C/D","6769",1
"571698","6B","6770",1
"571793","6B","6771",1
"571889","6C/D","6772",1
"571983","6B","6773",1
"572078","6B","6774",1
"572131","23F","6775",1
"572268","6B","6776",1
"572362","6A","6777",1
"572457","6A","6778",1
"572562","9A","6779",1
"572577","12A","6780",1
"572691","19F","6781",1
"572786","19F","6782",1
"572901","3","6783",1
"573029","6C/D","6784",1
"573123","6B","6785",1
"573209","43","6786",1
"573280","29","6787",1
"573351","18C","6788",1
"573442","17A","6789",1
"573598","6B","6790",1
"573631","16F","6791",1
"573736","19F","6792",1
"573831","19F","6793",1
"573926","19F","6794",1
"574021","19F","6795",1
"574116","19F","6796",1
"574263","6B","6797",1
"574316","23F","6798",1
"574401","19F","6799",1
"574548","6B","6800",1
"574643","6B","6801",1
"574738","6B","6802",1
"574768","15B/C","6803",1
"574911","37","6804",1
"575024","6C/D","6806",1
"575119","6C/D","6807",1
"575212","6A","6808",1
"575314","7B/C","6809",1
"575383","35C","6810",1
"575456","23F","6811",1
"575516","11A","6812",1
"575611","11A","6813",1
"575702","10A","6814",1
"575836","23F","6815",1
"575902","12A","6816",1
"576049","35F","6817",1
"576096","14","6819",1
"576198","17F","6820",1
"576350","48","6821",1
"576446","5","6822",1
"576520","34","6823",1
"576650","9V","6824",1
"576691","23F","6825",1
"576732","6A","6825",1
"576834","7B/C","6826",1
"576866","18C","6827",1
"576952","15A","6828",1
"577048","15B/C","6829",1
"577156","19F","6830",1
"577208","6B","6830",1
"577303","6B","6831",1
"577305","6E","6831",1
"577384","4","6832",1
"577448","22F","6833",1
"577549","24F","6834",1
"577621","16F","6835",1
"577789","9N","6836",1
"577880","7F","6837",1
"577975","7F","6838",1
"577994","12F","6839",1
"578091","14","6840",1
"578186","14","6841",1
"578281","14","6842",1
"578391","19F","6843",1
"578486","19F","6844",1
"578586","21","6845",1
"578727","6A","6846",1
"578822","6A","6847",1
"578917","6A","6848",1
"579012","6A","6849",1
"579108","6B","6850",1
"579202","6A","6851",1
"579297","6A","6852",1
"579392","6A","6853",1
"579446","23F","6854",1
"579541","23F","6855",1
"579636","23F","6856",1
"579731","23F","6857",1
"579826","23F","6859",1
"579963","6B","6860",1
"579991","14","6861",1
"580098","19A","6862",1
"580248","6B","6863",1
"580329","4","6864",1
"580371","14","6865",1
"580481","19F","6866",1
"580628","6B","6867",1
"580730","7F","6868",1
"580776","23F","6869",1
"580871","23F","6870",1
"580941","14","6871",1
"581036","14","6872",1
"581131","14","6873",1
"581270","34","6874",1
"581336","19F","6875",1
"581341","21","6875",1
"581343","22F","6875",1
"581356","3","6875",1
"581431","19F","6876",1
"581555","34","6877",1
"581673","6B","6878",1
"581767","6A","6879",1
"581864","6C/D","6880",1
"581966","8","6881",1
"581991","16F","6882",1
"582148","6B","6883",1
"582222","35B","6884",1
"582286","19F","6885",1
"582379","19B","6886",1
"582489","24F","6887",1
"582571","19F","6888",1
"582637","10A","6890",1
"582820","7F","6891",1
"582915","7F","6892",1
"582936","14","6893",1
"583105","7F","6896",1
"583200","7F","6900",1
"583241","21","6901",1
"583383","6B","6902",1
"583410","13","6903",1
"583521","19F","6904",1
"583626","23F","6905",1
"583721","23F","6906",1
"583843","39","6911",1
"583901","19F","6912",1
"583993","19A","6913",1
"584142","6A","6914",1
"584238","6B","6915",1
"584332","6A","6916",1
"584428","6B","6917",1
"584523","6B","6918",1
"584618","6B","6919",1
"584658","19A","6920",1
"584787","35B","6921",1
"584861","23F","6922",1
"584977","35B","6923",1
"585093","6B","6924",1
"585121","14","6925",1
"585218","15B/C","6926",1
"585313","15B/C","6927",1
"585411","16F","6928",1
"585513","19A","6929",1
"585611","19F","6930",1
"585739","35F","6931",1
"585846","45","6932",1
"585916","3","6934",1
"585995","20B","6935",1
"586086","19F","6937",1
"586152","10A","6938",1
"586328","6B","6939",1
"586423","6B","6940",1
"586476","23F","6942",1
"586561","19F","6943",1
"586627","10A","6944",1
"586734","12F","6945",1
"586898","6B","6947",1
"586961","3","6948",1
"587056","3","6949",1
"587183","6B","6950",1
"587277","6A","6951",1
"587321","19F","6952",1
"587409","18A","6953",1
"587506","18C","6954",1
"587606","19F","6955",1
"587739","4","6956",1
"587793","19A","6958",1
"587901","23F","6959",1
"587991","21","6960",1
"588112","35B","6961",1
"588196","3","6962",1
"588322","6A","6963",1
"588417","6A","6964",1
"588512","6A","6965",1
"588553","19A","6966",1
"588648","19A","6967",1
"588743","19A","6968",1
"588838","19A","6969",1
"588933","19A","6970",1
"589028","19A","6971",1
"589123","19A","6972",1
"589218","19A","6973",1
"589313","19A","6974",1
"589408","19A","6975",1
"589503","19A","6976",1
"589598","19A","6977",1
"589693","19A","6978",1
"589788","19A","6979",1
"589883","19A","6980",1
"589978","19A","6981",1
"590073","19A","6982",1
"590141","1","6983",1
"590317","6A","6984",1
"590348","15B/C","6985",1
"590456","19F","6986",1
"590544","18A","6987",1
"590655","23B","6988",1
"590741","19F","6992",1
"590836","19F","6993",1
"590928","19A","6994",1
"591046","3","6997",1
"591095","10F","6998",1
"591254","4","6999",1
"591363","6B","7000",1
"591415","23B","7001",1
"591486","14","7002",1
"591656","8","7003",1
"591724","35F","7004",1
"591781","18C","7005",1
"591871","16F","7006",1
"592007","35B","7007",1
"592122","6A","7008",1
"592217","6A","7009",1
"592312","6A","7010",1
"592416","8","7011",1
"592448","19A","7012",1
"592553","22F","7013",1
"592651","23F","7014",1
"592788","6B","7015",1
"592883","6B","7017",1
"592911","14","7018",1
"593072","6A","7021",1
"593087","10A","7023",1
"593211","19F","7024",1
"593357","6A","7025",1
"593439","4","7026",1
"593486","16F","7027",1
"593584","18A","7028",1
"593686","19F","7030",1
"593791","23F","7031",1
"593866","16F","7032",1
"594035","9V","7033",1
"594063","19A","7034",1
"594066","19F","7034",1
"594214","6C/D","7035",1
"594231","11A","7036",1
"594403","6B","7037",1
"594431","14","7038",1
"594526","14","7039",1
"594621","14","7040",1
"594716","14","7041",1
"594811","14","7042",1
"594906","14","7043",1
"595001","14","7044",1
"595096","14","7045",1
"595191","14","7046",1
"595286","14","7047",1
"595455","7F","7048",1
"595543","6B","7049",1
"595636","5","7050",1
"595668","15B/C","7051",1
"595763","15B/C","7052",1
"595929","7B/C","7053",1
"595937","10A","7054",1
"596032","10A","7055",1
"596033","10B","7055",1
"596156","19F","7056",1
"596248","19A","7057",1
"596410","9V","7058",1
"596505","9V","7059",1
"596521","14","7061",1
"596682","6A","7063",1
"596711","14","7064",1
"596873","6B","7065",1
"596916","19F","7066",1
"596997","15A","7067",1
"597111","21","7068",1
"597187","15A","7069",1
"597279","12F","7070",1
"597376","14","7071",1
"597483","19A","7072",1
"597632","6A","7073",1
"597727","6A","7074",1
"597823","6B","7075",1
"597918","6B","7076",1
"597982","31","7077",1
"598108","6B","7078",1
"598202","6A","7079",1
"598255","23B","7080",1
"598341","19F","7081",1
"598426","16F","7082",1
"598516","14","7083",1
"598678","6B","7084",1
"598680","6E","7084",1
"598784","9N","7085",1
"598845","34","7086",1
"598948","39","7087",1
"598991","14","7088",1
"599117","27","7089",1
"599214","28F","7090",1
"599286","18C","7091",1
"599372","15A","7093",1
"599545","9V","7094",1
"599561","14","7095",1
"599681","23F","7096",1
"599818","6B","7097",1
"599913","6B","7098",1
"600008","6B","7099",1
"600103","6B","7100",1
"600143","19A","7101",1
"600246","21","7103",1
"600333","19A","7104",1
"600469","4","7105",1
"600526","19F","7107",1
"600671","5","7108",1
"600768","6B","7109",1
"600794","12F","7110",1
"600906","19F","7111",1
"600971","1","7112",1
"601081","14","7113",1
"601176","14","7114",1
"601257","10A","7115",1
"601371","16F","7116",1
"601509","35F","7117",1
"601568","19A","7118",1
"601641","11A","7119",1
"601758","19A","7120",1
"601865","23B","7121",1
"601948","19A","7122",1
"602046","19F","7123",1
"602126","14","7124",1
"602236","19F","7125",1
"602331","19F","7126",1
"602478","6B","7127",1
"602531","23F","7128",1
"602654","4","7129",1
"602763","6B","7130",1
"602806","19F","7131",1
"602901","19F","7132",1
"602993","19A","7133",1
"603081","16F","7134",1
"603173","15B/C","7135",1
"603333","6B","7137",1
"603361","14","7138",1
"603456","14","7139",1
"603551","14","7140",1
"603720","7F","7141",1
"603741","14","7142",1
"603846","18C","7143",1
"603956","23F","7144",1
"604092","6A","7145",1
"604136","19F","7146",1
"604201","1","7147",1
"604296","1","7148",1
"604396","11A","7149",1
"604487","10A","7150",1
"604662","6A","7151",1
"604744","4","7152",1
"604776","11A","7153",1
"604948","6B","7155",1
"604962","10A","7156",1
"605138","6B","7157",1
"605188","22F","7158",1
"605276","19F","7159",1
"605342","10A","7160",1
"605518","6B","7161",1
"605607","46","7162",1
"605677","31","7163",1
"605774","32F","7164",1
"605784","35F","7164",1
"605822","11B","7165",1
"605927","15A","7166",1
"606026","16F","7167",1
"606140","23B","7168",1
"606246","3","7169",1
"606331","23F","7170",1
"606474","7B/C","7171",1
"606498","15B/C","7172",1
"606590","13","7173",1
"606714","24F","7174",1
"606854","7B/C","7175",1
"606935","44","7176",1
"606974","15F","7177",1
"607094","24F","7179",1
"607234","7B/C","7180",1
"607267","18F","7181",1
"607277","22A","7181",1
"607372","22A","7182",1
"607446","14","7183",1
"607566","23F","7184",1
"607690","40","7185",1
"607720","10F","7186",1
"607823","12B","7187",1
"607987","6A","7188",1
"608068","39","7189",1
"608171","45","7190",1
"608266","45","7191",1
"608344","33F","7192",1
"608454","43","7193",1
"608489","12F","7194",1
"608596","18C","7195",1
"608728","35C","7196",1
"608834","43","7197",1
"608871","14","7198",1
"609033","6B","7199",1
"609140","9V","7200",1
"609148","11C","7201",1
"609295","34","7202",1
"609421","8","7203",1
"609518","9L","7204",1
"609614","9N","7205",1
"609631","14","7206",1
"609746","21","7207",1
"609895","7F","7208",1
"609945","25A","7209",1
"610085","7F","7210",1
"610141","3","7211",1
"610196","11F","7212",1
"610352","41F","7213",1
"610381","11A","7214",1
"610513","24B","7215",1
"610625","34","7216",1
"610679","15F","7217",1
"610815","34","7218",1
"610888","22F","7219",1
"611023","47A","7220",1
"611121","5","7222",1
"611204","4","7223",1
"611299","4","7224",1
"611373","28A","7225",1
"611448","19A","7226",1
"611564","28F","7227",1
"611624","12F","7228",1
"611736","19F","7229",1
"611831","19F","7230",1
"611960","36","7231",1
"612070","48","7232",1
"612165","48","7233",1
"612242","35B","7234",1
"612335","34","7235",1
"612432","35B","7236",1
"612530","36","7237",1
"612631","41A","7238",1
"612731","45","7239",1
"612843","9L","7240",1
"612846","1","7241",1
"613001","35A","7242",1
"613101","37","7243",1
"613181","3","7244",1
"613241","14","7245",1
"613336","14","7246",1
"613421","11A","7247",1
"613538","19A","7248",1
"613636","19F","7249",1
"613785","6E","7250",1
"613877","6A","7251",1
"613957","38","7252",1
"614001","14","7253",1
"614111","19F","7254",1
"614203","19A","7255",1
"614311","23F","7256",1
"614447","6A","7257",1
"614478","15B/C","7258",1
"614644","7B/C","7260",1
"614676","18C","7262",1
"614771","18C","7263",1
"614866","18C","7264",1
"614961","18C","7265",1
"615046","14","7266",1
"615141","14","7267",1
"615246","18C","7268",1
"615331","14","7269",1
"615426","14","7270",1
"615521","14","7271",1
"615626","18C","7272",1
"615711","14","7273",1
"615816","18C","7274",1
"615911","18C","7275",1
"615996","14","7276",1
"616091","14","7277",1
"616186","14","7278",1
"616281","14","7279",1
"616376","14","7280",1
"616471","14","7281",1
"616566","14","7282",1
"616661","14","7283",1
"616756","14","7284",1
"616861","18C","7285",1
"616956","18C","7286",1
"617041","14","7287",1
"617136","14","7288",1
"617241","18C","7289",1
"617336","18C","7290",1
"617421","14","7291",1
"617516","14","7292",1
"617611","14","7293",1
"617716","18C","7294",1
"617801","14","7295",1
"617906","18C","7296",1
"618001","18C","7297",1
"618152","6A","7298",1
"618247","6A","7299",1
"618342","6A","7300",1
"618437","6A","7301",1
"618533","6B","7302",1
"618628","6B","7303",1
"618722","6A","7304",1
"618818","6B","7305",1
"618912","6A","7306",1
"619007","6A","7307",1
"619008","6B","7307",1
"619102","6A","7308",1
"619197","6A","7309",1
"619292","6A","7310",1
"619388","6B","7311",1
"619482","6A","7312",1
"619577","6A","7313",1
"619628","22F","7314",1
"619752","38","7315",1
"619819","23A","7318",1
"619903","19A","7319",1
"619978","11C","7320",1
"620093","19A","7321",1
"620175","13","7322",1
"620296","23F","7323",1
"620378","19A","7324",1
"620486","23F","7325",1
"620581","23F","7326",1
"620693","33D","7327",1
"620766","21","7328",1
"620901","45","7330",1
"620948","19A","7331",1
"621046","19F","7332",1
"621111","1","7333",1
"621233","19A","7334",1
"621339","23A","7335",1
"621434","23A","7336",1
"621518","19A","7337",1
"621624","23A","7338",1
"621708","19A","7339",1
"621866","8","7340",1
"621960","7F","7341",1
"621996","19F","7342",1
"622151","8","7343",1
"622239","6C/D","7344",1
"622334","6C/D","7345",1
"622429","6C/D","7346",1
"622491","3","7347",1
"622586","3","7348",1
"622681","3","7349",1
"622776","3","7350",1
"622871","3","7351",1
"622966","3","7352",1
"623061","3","7353",1
"623174","4","7354",1
"623269","4","7355",1
"623364","4","7356",1
"623441","3","7357",1
"623554","4","7358",1
"623649","4","7359",1
"623765","7F","7360",1
"623860","7F","7361",1
"623916","3","7362",1
"624011","3","7363",1
"624106","3","7364",1
"624201","3","7365",1
"624296","3","7366",1
"624391","3","7367",1
"624486","3","7368",1
"624581","3","7369",1
"624694","4","7370",1
"624789","4","7371",1
"624884","4","7372",1
"624979","4","7373",1
"625074","4","7374",1
"625169","4","7375",1
"625264","4","7376",1
"625371","5","7377",1
"625436","3","7378",1
"625570","7F","7379",1
"625659","6C/D","7381",1
"625754","6C/D","7384",1
"625806","23F","7386",1
"625816","3","7386",1
"625920","34","7388",1
"625986","19F","7389",1
"626091","23F","7390",1
"626228","6B","7391",1
"626323","6B","7392",1
"626386","3","7393",1
"626513","6B","7394",1
"626553","19A","7395",1
"626651","19F","7396",1
"626798","6B","7397",1
"626893","6B","7398",1
"626921","14","7399",1
"627041","23F","7400",1
"627136","23F","7401",1
"627178","6B","7401",1
"627221","19F","7402",1
"627250","34","7402",1
"627368","6B","7403",1
"627374","7B/C","7403",1
"627421","23F","7404",1
"627491","14","7405",1
"627621","3","7406",1
"627696","19F","7407",1
"627801","23F","7408",1
"627906","3","7409",1
"627991","23F","7410",1
"628086","23F","7411",1
"628200","34","7412",1
"628276","23F","7413",1
"628336","11A","7414",1
"628508","6B","7415",1
"628603","6B","7416",1
"628698","6B","7417",1
"628792","6A","7418",1
"628888","6B","7419",1
"628983","6B","7421",1
"628997","10A","7422",1
"629174","6C/D","7423",1
"629225","23B","7424",1
"629342","35B","7425",1
"629437","35B","7426",1
"629511","23F","7427",1
"629582","15A","7429",1
"629743","6B","7430",1
"629786","19F","7431",1
"629866","14","7432",1
"630028","6B","7433",1
"630123","6B","7434",1
"630171","21","7435",1
"630266","21","7436",1
"630341","14","7437",1
"630441","16F","7438",1
"630583","39","7439",1
"630705","9V","7440",1
"630765","34","7441",1
"630824","18A","7442",1
"630926","19F","7443",1
"631021","19F","7444",1
"631116","19F","7445",1
"631211","19F","7446",1
"631313","22F","7447",1
"631386","14","7448",1
"631467","10A","7449",1
"631562","10A","7450",1
"631660","10F","7451",1
"631791","23F","7452",1
"631876","19F","7453",1
"632023","6B","7454",1
"632117","6A","7455",1
"632146","14","7456",1
"632308","6B","7457",1
"632351","19F","7459",1
"632497","6A","7460",1
"632499","6C/D","7460",1
"632549","23A","7461",1
"632636","19F","7462",1
"632731","19F","7463",1
"632890","9V","7464",1
"632918","19A","7465",1
"633013","19A","7466",1
"633111","19F","7467",1
"633216","23F","7469",1
"633308","22F","7470",1
"633371","11A","7471",1
"633524","35F","7472",1
"633572","15A","7473",1
"633667","15A","7474",1
"633751","11A","7475",1
"633871","19F","7476",1
"633963","19A","7477",1
"634114","6C/D","7478",1
"634143","15B/C","7479",1
"634259","23A","7480",1
"634354","23A","7481",1
"634428","15B/C","7482",1
"634541","21","7483",1
"634618","15B/C","7484",1
"634784","7B/C","7485",1
"634852","35B","7486",1
"634947","35B","7487",1
"634998","15B/C","7488",1
"635135","34","7489",1
"635206","21","7490",1
"635296","19F","7491",1
"635443","6B","7492",1
"635537","6A","7493",1
"635578","19A","7495",1
"635728","6B","7496",1
"635781","23F","7497",1
"635853","15B/C","7498",1
"635956","18C","7499",1
"636053","19A","7500",1
"636203","6B","7501",1
"636298","6B","7503",1
"636361","3","7504",1
"636431","18C","7505",1
"636521","16F","7506",1
"636654","33F","7507",1
"636718","19A","7508",1
"636721","19F","7508",1
"636803","15B/C","7510",1
"636896","14","7511",1
"636977","10A","7515",1
"637088","15B/C","7516",1
"637183","15B/C","7517",1
"637291","19F","7519",1
"637373","15B/C","7520",1
"637468","15B/C","7521",1
"637563","15B/C","7522",1
"637658","15B/C","7523",1
"637766","19F","7524",1
"637861","19F","7526",1
"637941","14","7527",1
"638036","14","7528",1
"638131","14","7529",1
"638270","34","7530",1
"638328","17F","7532",1
"638402","10A","7533",1
"638554","33F","7534",1
"638592","10A","7535",1
"638744","33F","7536",1
"638839","33F","7538",1
"638890","13","7539",1
"639001","19F","7540",1
"639160","9V","7542",1
"639222","35B","7543",1
"639288","2","7544",1
"639401","3","7545",1
"639496","3","7546",1
"639608","39","7547",1
"639651","14","7550",1
"639746","14","7551",1
"639841","14","7552",1
"639936","14","7554",1
"640071","33B","7557",1
"640126","14","7558",1
"640264","33F","7562",1
"640316","14","7563",1
"640435","23B","7565",1
"640508","15B/C","7568",1
"640636","3","7569",1
"640740","34","7570",1
"640834","33F","7573",1
"640888","15B/C","7574",1
"640971","11A","7576",1
"641091","19F","7579",1
"641170","13","7580",1
"641291","23F","7581",1
"641428","6B","7585",1
"641476","21","7591",1
"641541","11A","7594",1
"641636","11A","7595",1
"641741","14","7598",1
"641856","21","7600",1
"641861","23F","7600",1
"641951","21","7601",1
"642033","17F","7602",1
"642200","9V","7603",1
"642221","16F","7608",1
"642311","14","7609",1
"642426","21","7610",1
"642526","23F","7612",1
"642621","23F","7615",1
"642691","14","7617",1
"642786","14","7618",1
"642888","17F","7619",1
"643022","35B","7620",1
"643076","16F","7621",1
"643178","19A","7622",1
"643263","15B/C","7623",1
"643379","23A","7624",1
"643503","39","7625",1
"643598","39","7626",1
"643646","16F","7628",1
"643738","15B/C","7629",1
"643836","16F","7630",1
"643931","16F","7631",1
"644026","16F","7632",1
"644121","16F","7633",1
"644236","23F","7634",1
"644350","34","7636",1
"644399","12F","7638",1
"644511","19F","7639",1
"644590","13","7641",1
"644687","15A","7642",1
"644780","13","7643",1
"644928","39","7644",1
"644971","14","7645",1
"645066","14","7646",1
"645207","35B","7649",1
"645208","35C","7649",1
"645257","15A","7650",1
"645366","19F","7652",1
"645469","23A","7655",1
"645554","19B","7656",1
"645689","4","7658",1
"645755","23B","7659",1
"645825","13","7660",1
"645936","19F","7661",1
"646041","23F","7662",1
"646126","19F","7663",1
"646285","9V","7664",1
"646354","4","7666",1
"646396","14","7667",1
"646557","6A","7668",1
"646598","19A","7670",1
"646705","23B","7672",1
"646822","35B","7674",1
"646923","39","7675",1
"646981","19F","7681",1
"647076","19F","7682",1
"647171","19F","7684",1
"647275","23B","7687",1
"647370","23B","7688",1
"647466","23F","7689",1
"647582","35B","7694",1
"647638","17F","7695",1
"647677","35B","7695",1
"647746","21","7698",1
"647822","15A","7699",1
"647941","23F","7703",1
"648031","21","7705",1
"648129","23A","7706",1
"648224","23A","7707",1
"648319","23A","7708",1
"648414","23A","7709",1
"648509","23A","7710",1
"648580","13","7712",1
"648701","23F","7713",1
"648783","19A","7715",1
"648878","19A","7716",1
"648973","19A","7717",1
"649068","19A","7718",1
"649166","19F","7719",1
"649258","19A","7720",1
"649407","6A","7721",1
"649436","14","7722",1
"649541","18C","7723",1
"649693","6B","7724",1
"649736","19F","7725",1
"649816","14","7726",1
"649964","4","7727",1
"650006","14","7728",1
"650101","14","7729",1
"650206","18C","7730",1
"650358","6B","7731",1
"650452","6A","7732",1
"650548","6B","7733",1
"650588","19A","7734",1
"650737","6A","7735",1
"650832","6A","7736",1
"650873","19A","7737",1
"651023","6B","7738",1
"651063","19A","7739",1
"651212","6A","7740",1
"651307","6A","7741",1
"651346","18C","7742",1
"651497","6A","7743",1
"651592","6A","7744",1
"651686","5","7745",1
"651741","23F","7746",1
"651826","19F","7748",1
"651921","19F","7751",1
"652068","6B","7755",1
"652162","6A","7756",1
"652163","6B","7756",1
"652206","19F","7758",1
"652352","6A","7760",1
"652448","6B","7762",1
"652491","19F","7766",1
"652637","6A","7767",1
"652668","15B/C","7768",1
"652786","23F","7772",1
"652842","10A","7773",1
"652966","19F","7774",1
"653081","3","7775",1
"653194","4","7776",1
"653251","19F","7777",1
"653317","10A","7778",1
"653493","6B","7779",1
"653533","19A","7780",1
"653684","6C/D","7781",1
"653779","6C/D","7782",1
"653873","6B","7783",1
"653926","23F","7784",1
"653986","11A","7785",1
"654093","15B/C","7787",1
"654254","6C/D","7788",1
"654293","19A","7790",1
"654362","10A","7791",1
"654473","15B/C","7792",1
"654568","15B/C","7793",1
"654663","15B/C","7794",1
"654756","14","7795",1
"654863","19A","7796",1
"654948","15B/C","7797",1
"655109","6C/D","7798",1
"655161","23F","7799",1
"655204","6C/D","7799",1
"655267","31","7800",1
"655393","6B","7801",1
"655446","23F","7802",1
"655541","23F","7804",1
"655611","14","7805",1
"655706","14","7806",1
"655868","6B","7807",1
"655963","6B","7808",1
"656037","35B","7809",1
"656072","10A","7810",1
"656171","11A","7811",1
"656291","19F","7812",1
"656438","6B","7813",1
"656489","23A","7814",1
"656629","6C/D","7815",1
"656689","28F","7816",1
"656819","6C/D","7817",1
"656858","19A","7818",1
"657007","6A","7819",1
"657036","14","7820",1
"657146","19F","7822",1
"657251","23F","7823",1
"657388","6B","7824",1
"657482","6A","7825",1
"657578","6B","7826",1
"657673","6B","7827",1
"657711","18C","7829",1
"657782","10A","7830",1
"657958","6B","7831",1
"658011","23F","7832",1
"658132","38","7833",1
"658243","6B","7834",1
"658338","6B","7835",1
"658391","23F","7836",1
"658461","14","7837",1
"658624","6C/D","7838",1
"658718","6B","7839",1
"658746","14","7840",1
"658885","34","7842",1
"658948","19A","7845",1
"659106","8","7846",1
"659201","8","7847",1
"659222","15A","7848",1
"659383","6B","7849",1
"659457","35B","7854",1
"659542","31","7855",1
"659602","15A","7856",1
"659711","19F","7857",1
"659806","19F","7858",1
"659901","19F","7859",1
"659996","19F","7860",1
"660088","19A","7861",1
"660101","23F","7861",1
"660196","23F","7862",1
"660291","23F","7863",1
"660386","23F","7864",1
"660481","23F","7865",1
"660576","23F","7866",1
"660671","23F","7867",1
"660766","23F","7868",1
"660903","6B","7870",1
"660997","6A","7871",1
"661051","23F","7872",1
"661136","19F","7873",1
"661217","15A","7874",1
"661346","3","7875",1
"661474","6C/D","7876",1
"661536","3","7877",1
"661631","3","7878",1
"661759","6C/D","7879",1
"661839","4","7880",1
"661916","3","7881",1
"662001","23F","7882",1
"662145","7F","7883",1
"662240","7F","7884",1
"662335","7F","7885",1
"662430","7F","7886",1
"662525","7F","7887",1
"662625","9V","7888",1
"662720","9V","7889",1
"662815","9V","7890",1
"662910","9V","7891",1
"662911","1","7892",1
"663006","1","7893",1
"663128","19A","7894",1
"663223","19A","7895",1
"663318","19A","7896",1
"663413","19A","7897",1
"663508","19A","7898",1
"663603","19A","7899",1
"663698","19A","7900",1
"663793","19A","7901",1
"663888","19A","7902",1
"663983","19A","7903",1
"664078","19A","7904",1
"664161","14","7905",1
"664335","9V","7906",1
"664366","19F","7907",1
"664461","19F","7908",1
"664566","23F","7909",1
"664661","23F","7910",1
"664756","23F","7911",1
"664851","23F","7912",1
"664946","23F","7913",1
"665028","19A","7915",1
"665134","23A","7916",1
"665218","19A","7917",1
"665369","6C/D","7918",1
"665464","6C/D","7919",1
"665503","19A","7920",1
"665598","19A","7924",1
"665693","19A","7926",1
"665842","6A","7929",1
"665844","6C/D","7929",1
"665883","19A","7930",1
"665978","19A","7931",1
"666073","19A","7932",1
"666171","19F","7934",1
"666274","23A","7935",1
"666358","19A","7938",1
"666507","6A","7939",1
"666559","23A","7940",1
"666677","35B","7941",1
"666738","19A","7942",1
"666824","15F","7944",1
"666916","14","7945",1
"667022","18F","7946",1
"667159","4","7947",1
"667268","6B","7948",1
"667321","23F","7949",1
"667391","14","7950",1
"667554","6C/D","7951",1
"667571","11A","7952",1
"667661","1","7953",1
"667756","1","7954",1
"667851","1","7955",1
"667992","27","7956",1
"668068","19A","7958",1
"668219","6C/D","7959",1
"668269","23A","7960",1
"668376","3","7961",1
"668451","19F","7962",1
"668543","19A","7963",1
"668693","6B","7965",1
"668721","14","7966",1
"668883","6B","7967",1
"668936","23F","7968",1
"669072","6A","7969",1
"669151","37","7970",1
"669196","14","7971",1
"669291","14","7972",1
"669386","14","7973",1
"669481","14","7974",1
"669644","6C/D","7975",1
"669686","19F","7976",1
"669791","23F","7977",1
"669876","19F","7978",1
"669971","19F","7979",1
"670118","6B","7980",1
"670169","23A","7981",1
"670309","6C/D","7983",1
"670364","24F","7984",1
"670477","35B","7985",1
"670526","14","7986",1
"670636","19F","7987",1
"670728","19A","7988",1
"670836","23F","7989",1
"670952","35B","7990",1
"671016","19F","7991",1
"671097","15A","7992",1
"671206","19F","7993",1
"671301","19F","7994",1
"671396","19F","7995",1
"671476","14","7996",1
"671606","3","7997",1
"671745","9V","7998",1
"671839","9N","7999",1
"671934","9N","8000",1
"672028","9L","8001",1
"672058","19A","8002",1
"672209","6C/D","8003",1
"672304","6C/D","8004",1
"672353","22F","8005",1
